spine;title;img;director;country;year;link
301;An Angel at My Table;https://s3.amazonaws.com/criterion-production/films/6785927db8aa1f07dd1962db2eb90fbe/4kQ3PHhymsEpnTpTNBvZV8NdK2i3C7_thumbnail.jpg;Jane Campion;New Zealand;1990;https://www.criterion.com/films/742-an-angel-at-my-table
302;Harakiri;https://s3.amazonaws.com/criterion-production/films/fe65c912ed0121f71023506eb6cc23be/py4J44m9myctddWu0rfZeTZNdB7l4g_thumbnail.jpg;Masaki Kobayashi;Japan;1962;https://www.criterion.com/films/743-harakiri
303;Bad Timing;https://s3.amazonaws.com/criterion-production/films/7bf78cd08a9162b633aa991245aeefd1/AckPHYCQJF9q9fcWiMHwL2a0WPlNY1_thumbnail.jpg;Nicolas Roeg;United Kingdom;1980;https://www.criterion.com/films/744-bad-timing
304;The Man Who Fell to Earth;https://s3.amazonaws.com/criterion-production/films/3efe70d9dba29843d49954161453e578/vHs5Kke4jcyOGFVkRE3LVBDpQ6ZIVD_thumbnail.jpg;Nicolas Roeg;United States;1976;https://www.criterion.com/films/755-the-man-who-fell-to-earth
305;Boudu Saved from Drowning;https://s3.amazonaws.com/criterion-production/films/41bab7d800fa8e2acb4c1225cc874538/6GhFqGUGRTHmv39pKLAOsW4tpxf0Ys_thumbnail.jpg;Jean Renoir;France;1932;https://www.criterion.com/films/756-boudu-saved-from-drowning
306;Le samouraï;https://s3.amazonaws.com/criterion-production/films/27db58e44fb4dde2f6501f6f01ff4db4/JgSK0D7xLjHMKNvrYplGmlZ6Wn5bxh_small.jpg;Jean-Pierre Melville;France;1967;https://www.criterion.com/films/184-le-samourai
307;Naked;https://s3.amazonaws.com/criterion-production/films/ad92e3359b1dde6cd670b3f36c5ddf08/YQZ7RpGqF3uncaRrdKPcrnU0K6LDKE_small.jpg;Mike Leigh;United Kingdom;1993;https://www.criterion.com/films/220-naked
308;Masculin féminin;https://s3.amazonaws.com/criterion-production/films/956cb3d5725abeeff09544e381c0e319/wvoIwSwakZ94vbcqMIq6kaU4KTDRDj_thumbnail.jpg;Jean-Luc Godard;France;1966;https://www.criterion.com/films/508-masculin-feminin
309;Ugetsu;https://s3.amazonaws.com/criterion-production/films/c66a1a1981439219be0c6124cebbf6ad/0mD8mQfefSRAootfVPdmKFCJcNK5rq_thumbnail.jpg;Kenji Mizoguchi;Japan;1953;https://www.criterion.com/films/369-ugetsu
310;Samurai Rebellion;https://s3.amazonaws.com/criterion-production/films/ca3c0784d81f91e3f9aaa1042b85bda1/LXHOssMGpyKq1rwyuscYSnAuNwWOGa_thumbnail.jpg;Masaki Kobayashi;Japan;1967;https://www.criterion.com/films/753-samurai-rebellion
311;Sword of the Beast;https://s3.amazonaws.com/criterion-production/films/04e10116294528ec2da38cb6c0a5b044/3pKnBkuWZlWe0VWIvtR6D92XRuWPU2_thumbnail.jpg;Hideo Gosha;Japan;1965;https://www.criterion.com/films/761-sword-of-the-beast
312;Samurai Spy;https://s3.amazonaws.com/criterion-production/films/a5c824b2768519d99d40bf762942e5f6/j3Lb5bKdOK3aRHM1EExYCXPZrj0VYX_thumbnail.jpg;Masahiro Shinoda;Japan;1965;https://www.criterion.com/films/762-samurai-spy
313;Kill!;https://s3.amazonaws.com/criterion-production/films/4b25766f5b49a52427263008b7c8280f/D1oQctY2FyV7C8jLs1Xnr5OrWOFouD_thumbnail.jpg;Kihachi Okamoto;Japan;1968;https://www.criterion.com/films/763-kill
314;Pickpocket;https://s3.amazonaws.com/criterion-production/films/0393b1514456110873c27c246596512a/RWW69Tp4DBKzuu2BSSd4Rh6MmATBXj_thumbnail.jpg;Robert Bresson;France;1959;https://www.criterion.com/films/229-pickpocket
315;Shoot the Piano Player;https://s3.amazonaws.com/criterion-production/films/e2503ca1f726cccd07242a6f9b09d465/7FscZpQOPu1MA6NZgaw4USztuWuS2n_thumbnail.jpg;François Truffaut;France;1960;https://www.criterion.com/films/764-shoot-the-piano-player
316;Ran;https://s3.amazonaws.com/criterion-production/films/cf75c5b225b8892c55ed98276db4f5ce/MwHT6SDYJSbktYtorPE6MOO8mE3UtI_thumbnail.jpg;Akira Kurosawa;Japan;1985;https://www.criterion.com/films/754-ran
317;The Tales of Hoffmann;https://s3.amazonaws.com/criterion-production/films/f5f93fa11c4a433beac47edae7573b3a/0vs8sbST33D8PCQoXuU2xPZjtDFT1g_thumbnail.jpg;Michael Powell and Emeric Pressburger;United Kingdom;1951;https://www.criterion.com/films/748-the-tales-of-hoffmann
318;Forbidden Games;https://s3.amazonaws.com/criterion-production/films/04f0b5903e208318b2f1ae9d4cd6c50a/4M0xqhgB2XoD9IvjA7Woc3h6apooAW_thumbnail.jpg;René Clément;France;1952;https://www.criterion.com/films/350-forbidden-games
